role,time spoken
student,1.800436
teacher,31.992845
teacher,18.128957
student,6.28814
teacher,30.512271
student,2.695673
teacher,9.616565
student,1.924697
teacher,16.612409
student,1.150825
teacher,23.235657
student,2.733502
teacher,7.639473
student,1.217429
teacher,6.272405
student,1.434922
teacher,8.858868
student,1.226241
teacher,2.099851
student,0.708323
teacher,5.841643
student,1.460908
teacher,11.319239
student,1.400094
teacher,30.179447
nobody,47.198949
teacher,34.949924
student,3.934337
teacher,2.823198
student,7.301831
teacher,0.630065
student,11.160009
teacher,1.570018
teacher,8.389797
student,31.59945
student,21.260032
teacher,31.74929
teacher_and_students,98.137522
teacher,92.315173
teacher_and_students,38.863055
teacher,1.351278
student,3.650239
teacher,15.689222
student,1.287184
teacher,31.026317
nobody,304.733373
teacher,18.70743
teacher,8.330245
nobody,125.771453
teacher,6.573281
nobody,138.406035
teacher,2.133129
nobody,7.05321
teacher,24.040154
student,2.099819
teacher,5.519076
teacher,25.981408
nobody,8.69682
teacher,47.748889
student,10.929461
teacher,2.507516
student,3.810326
teacher,2.77917
student,0.610358
teacher,18.11999
student,0.757472
student,5.507413
student,10.390898
teacher,29.386172
student,5.316497
nobody,16.1319
teacher,32.029096
teacher,34.618485
student,2.412969
teacher,2.115407
teacher,18.931718
nobody,3.132413
teacher,44.43025
student,2.450062
teacher,128.05192
student,13.901207
teacher,7.38019
student,24.76719
teacher,6.613183
student,3.506456
teacher,24.093108
student,1.765159
teacher,1.93538
student,4.482719
teacher,12.115035
student,4.760353
teacher,3.169683
student,2.51499
teacher,9.706032
student,19.589731
teacher,15.952512
student,2.133437
teacher,3.998862
teacher,33.298267
teacher,99.894597
nobody,17.926131
student,3.465951
teacher,69.00866
nobody,162.120188
teacher,13.510343
student,121.69204
teacher,40.394913
nobody,14.664884
teacher,77.838811
student,66.253712
teacher,28.909798
student,59.361733
teacher,34.21081
student,64.860096
teacher,29.484432
student,2.559522
teacher,31.002347
student,5.895891
student,4.267425
student,5.016309
teacher,4.884022
student,1.04907
teacher,9.533433
student,5.032261
student,6.699424
student,7.082058
teacher,2.999293
student,10.431482
teacher,46.111725
student,6.082769
student,8.285726
student,13.201487
student,5.678501
student,4.083901
student,3.296943
teacher,23.150081
student,14.614095
student,10.466483
student,3.532114
teacher,2.93179
student,10.901421
student,4.779949
student,11.565336
student,14.821157
student,11.329212
teacher,5.332817
nobody,6.997008
teacher,107.141058
teacher,70.461367
student,24.350653
teacher,35.720607
nobody,341.013796
teacher,1.984072
student,8.845162
nobody,58.52568
teacher,5.702394
student,3.885709
teacher,4.481021
student,4.24216
student,7.010926
teacher,10.27951
student,3.499224
teacher,3.715235
student,6.399665
teacher,6.086035
student,17.147578
teacher,72.508942
student,184.315763
teacher,6.873624
student,22.855424
student,8.570531
student,10.346113
student,6.797577
student,14.652866
student,12.028694
student,7.196584
student,11.834226
teacher,69.437386
student,8.261727
teacher,106.316679
student,3.883254
teacher,2.56017
student,2.354115
teacher,4.982081
student,2.802544
teacher,21.612457
student,2.366893
teacher,12.183592
teacher,5.755114
student,9.444647
student,10.790099
student,3.382925
student,3.754367
student,6.746007
teacher,19.404837
student,5.204618
student,10.510689
teacher,14.234541
student,4.71665
teacher,7.40913
student,12.747865
teacher,6.985316
student,8.596502
teacher,5.147423
student,2.610471
student,6.739116
teacher,10.382752
student,5.417166
student,4.549739
student,8.630896
student,2.0525
student,2.512189
teacher,10.452589
student,3.470975
teacher,28.788017
student,3.803146
teacher,3.161135
student,1.48956
teacher,22.703377
student,3.285166
teacher,6.51277
student,7.907112
student,5.121889
student,12.984851
student,10.673422
teacher,32.468204
student,28.521195
teacher,8.603925
student,8.264643
student,1.947655
student,19.972255
student,28.659856
teacher,6.172872
student,9.287804
teacher,3.891673
teacher,4.371892
student,12.041862
student,7.457137
teacher,9.872844
student,45.107559
teacher,4.515793
student,18.162629
teacher,20.565518
student,14.750975
teacher,11.123242
student,6.639985
student,36.199542
teacher,23.175752
teacher,7.54523
nobody,142.346547
teacher,27.672297
nobody,62.857682
teacher,9.258485
student,2.57883
nobody,199.996834
teacher,74.873039
student,4.804369
teacher,5.865176
student,1.85813
teacher,13.925653
student,9.639328
student,14.461555
student,7.158043
student,7.18134
teacher,2.614689
student,4.500571
student,4.223447
student,6.654041
student,5.152265
student,14.030834
teacher,4.033123
student,1.703742
teacher,4.958177
student,2.401856
student,4.316541
student,3.725896
student,3.672945
student,8.256964
teacher,1.451423
student,12.726832
student,10.303754
student,9.231522
student,7.031151
student,1.911032
student,4.135122
student,3.245908
student,8.176118
student,10.315969
student,2.479789
student,3.166045
student,3.710776
teacher,19.365162
student,2.359739
teacher,5.224977
student,2.156677
student,13.162058
teacher,14.557189
student,8.551201
teacher,4.45022
student,12.498902
teacher,2.510688
student,2.412201
teacher,2.672365
student,19.071811
teacher,6.921502
student,3.262045
student,2.196708
student,2.781526
student,5.523143
student,7.250419
student,13.415876
teacher,2.009192
teacher,16.97115
student,5.760761
student,9.817907
teacher,12.912907
nobody,48.219172
teacher,28.387896
nobody,103.690294
teacher,30.010617
total time,6337.712019
